model,seed,target,validity,uniqueness,internal_diversity,scaffold_diversity,mean_qed,mean_sa,fragment_incorporation,fraction_medchem_pass,fraction_pains_free,fraction_bms_free,fraction_lipinski,novelty,nonidenticality,effective_novelty,snn,effective_hit_rate,effective_medchem_pass,mean_qed_novel,mean_sa_novel,avg_top_1,avg_top_10,avg_top_100,avg_top_1_norm,avg_top_10_norm,avg_top_100_norm,auc_top_10,valid_pose_rate,oracle_efficiency_80,oracle_efficiency_100,avg_top_1_filtered,avg_top_10_filtered,avg_top_100_filtered,auc_top_10_filtered,n_molecules_total,n_molecules_attempted,total_gen_time,avg_gen_time_per_mol,total_eval_time,avg_eval_time_per_mol,total_time,avg_time_per_mol
A2C,run_20260430_215420_r01,ITK,0.947265625,0.9969072164948454,0.8151711432833508,0.9089968976215098,0.6102437169606147,2.8499724852143364,0.781799379524302,0.9642857142857143,0.9875904860392968,0.9762150982419855,0.8976215098241985,1.0,0.0,0.0,0.2431255693393879,0.73828125,0.9642857142857143,0.6102437169606147,2.8499724852143364,1.9801980198019808,1.7277227722772281,1.1950082508250828,1.9801980198019808,1.7277227722772281,1.1950082508250828,1.2616969948948022,1.0,549.0,237.0,1.9801980198019808,1.7277227722772281,1.1950082508250828,1.2616969948948022,1024,712,71.43,0.0698,1251.78,1.7581,1323.21,1.8279
A2C,run_20260430_215420_r01,PEPCK,0.8121878121878122,0.6359163591635917,0.46841640377986493,0.3036750483558994,0.3776949231291402,2.7905961757726288,1.0,0.9555125725338491,1.0,0.9748549323017408,0.5725338491295938,0.9961315280464217,0.0,0.0,0.6218103768491501,0.5144855144855145,0.9553398058252427,0.37747970349778404,2.791855120275845,1.6513833992094862,1.4185770750988143,1.123122529644268,1.6513833992094862,1.4185770750988143,1.123122529644268,1.255142683403553,1.0,204.0,91.0,1.6513833992094862,1.4185770750988143,1.123122529644268,1.2576183541033912,1001,789,101.55,0.1015,2277.31,2.8863,2378.86,2.9878
A2C,run_20260430_215420_r01,CHK1,0.24254473161033796,0.7786885245901639,0.7144535282645667,0.6421052631578947,0.5016608352472671,2.7031404928664378,1.0,0.9789473684210527,0.9947368421052631,0.9842105263157894,0.9631578947368421,0.9947368421052631,0.0,0.0,0.3508352056356964,0.1878727634194831,0.9788359788359788,0.5011958186476683,2.7064249987721536,0.9925233644859814,0.8472897196261684,0.48485981308411186,0.9925233644859814,0.8472897196261684,0.48485981308411186,0.7640799130450939,1.0,106.0,1006.0,0.9925233644859814,0.8472897196261684,0.48485981308411186,0.766062256486301,1006,239,108.74,0.1081,404.5,1.6925,513.23,1.8005
A2C,run_20260430_215420_r01,PptT,0.01568627450980392,1.0,0.5808699557241335,0.625,0.4171734568029657,3.0712406155107974,1.0,0.8125,1.0,1.0,0.6875,0.0625,0.0,0.0,0.9561781609195402,0.000980392156862745,1.0,0.5221023202968185,2.712542562887837,0.7191364965145043,0.46345851135597044,0.3825569528290464,0.7191364965145043,0.46345851135597044,0.3722301984051478,0.45985009276178807,1.0,13.0,1020.0,0.7191364965145043,0.46345851135597044,0.3825569528290464,0.4613361287847723,1020,13,0.0,0.0,72.01,5.5393,72.01,5.5393
A2C,run_20260430_215420_r02,PptT,0.07263681592039802,0.863013698630137,0.5924239348254131,0.5238095238095238,0.633625816479691,2.5520872540334207,1.0,0.9365079365079365,1.0,0.9841269841269841,0.9047619047619048,0.7619047619047619,0.0136986301369863,0.0009950248756218905,0.5001375838302169,0.04776119402985075,0.9791666666666666,0.7034531968681228,2.3823789524754297,0.7438722734427704,0.47144142118281984,0.1751644978050664,0.7438722734427704,0.47144142118281984,0.15195718983323714,0.46507061993014287,1.0,13.0,1005.0,0.7438722734427704,0.47144142118281984,0.1751644978050664,0.46659915662211365,1005,69,0.0,0.0,243.45,3.5282,243.45,3.5282
A2C,run_20260430_215420_r01,DPP4,0.6953125,0.9929775280898876,0.7428265731101757,0.727015558698727,0.6797458761529529,3.4612200586745203,0.7538896746817539,0.9512195121951219,0.9929278642149929,0.9632248939179632,0.8642149929278642,1.0,0.0,0.0,0.3200623130593733,0.5205078125,0.9512195121951219,0.6797458761529529,3.4612200586745203,1.511128775834658,1.332670906200318,0.897575516693162,1.511128775834658,1.332670906200318,0.897575516693162,1.0844317850134138,1.0,285.0,238.0,1.511128775834658,1.332670906200318,0.897575516693162,1.0844317850134138,1024,499,95.05,0.0928,572.78,1.1479,667.83,1.2407
A2C,run_20260430_215420_r04,PptT,0.01665034280117532,0.9411764705882353,0.5756348595943452,0.625,0.4280585604439786,3.0269082281673976,1.0,0.8125,1.0,1.0,0.6875,0.0625,0.0,0.0,0.9603174603174603,0.0009794319294809011,1.0,0.6962639785530247,2.003224365393441,0.7348774454688554,0.4605351922644479,0.3581226509043014,0.7348774454688554,0.4605351922644479,0.3325195155642648,0.4570067186532149,1.0,12.0,1021.0,0.7348774454688554,0.4605351922644479,0.3581226509043014,0.4585174922558609,1021,14,0.0,0.0,60.39,4.3137,60.39,4.3137
A2C,run_20260430_215420_r03,PEPCK,0.9602385685884692,0.6718426501035196,0.46408712840469324,0.288135593220339,0.36417220701659986,2.8314054626698493,1.0,0.926040061633282,1.0,0.9830508474576272,0.4622496147919877,0.9969183359013868,0.0,0.0,0.6256300053737569,0.643141153081511,0.9258114374034003,0.36395909489546613,2.832533708408567,1.8252964426877476,1.6328063241106723,1.2655335968379446,1.8252964426877476,1.6328063241106723,1.2655335968379446,1.3468935399460944,1.0,511.0,77.0,1.8252964426877476,1.6328063241106723,1.2655335968379446,1.3504325278020066,1006,912,91.41,0.0909,2382.24,2.6121,2473.65,2.703
A2C,run_20260430_215420_r02,ITK,0.9267578125,1.0,0.8176912593116021,0.9020021074815595,0.6266503907506767,2.8755761113834337,0.8356164383561644,0.9672131147540983,0.9915700737618546,0.9757639620653319,0.9041095890410958,1.0,0.0,0.0,0.24076153204684622,0.7744140625,0.9672131147540983,0.6266503907506767,2.8755761113834337,2.02970297029703,1.7660891089108914,1.1365924092409243,2.02970297029703,1.7660891089108914,1.1365924092409243,1.431374527833643,1.0,183.0,119.0,2.02970297029703,1.7660891089108914,1.1365924092409243,1.431374527833643,1024,750,70.64,0.069,1541.58,2.0554,1612.22,2.1244
A2C,run_20260430_215420_r03,VEGFR2,0.023785926660059464,1.0,0.7009863060255277,0.875,0.6848908409233335,3.0830538108711387,1.0,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.0,0.0,0.20845510881168616,0.023785926660059464,0.9166666666666666,0.6848908409233335,3.0830538108711387,0.17427969079409714,0.17427969079409714,0.17427969079409714,0.17427969079409714,0.17427969079409714,0.17427969079409714,0.00753945342236109,1.0,573.0,1009.0,0.17427969079409714,0.17427969079409714,0.17427969079409714,0.008252013266893407,1009,21,44.91,0.0445,141.2,6.724,186.11,6.7685
